Temperature,ADC Max,ADC Min
0,BC,BA
0,BC,BA
1,BA,B8
2,B8,B6
3,B6,B4
4,B3,B1
5,B1,AF
6,AF,AD
7,AC,AA
8,AA,A8
9,A8,A6
10,A5,A3
11,A3,A1
12,A0,9E
13,9E,9C
14,9B,9A
15,99,97
16,96,95
17,94,92
18,91,90
19,8F,8D
20,8C,8B
21,8A,89
22,88,86
23,85,84
24,83,81
25,80,7F
26,7E,7C
27,7B,7A
28,79,78
29,77,75
30,74,73
31,72,71
32,70,6E
33,6E,6C
34,6B,6A
35,69,67
36,67,65
37,65,63
38,63,61
39,61,5F
40,5F,5D
41,5D,5B
42,5B,59
43,59,57
44,57,55
45,55,53
46,53,51
47,51,4F
48,4F,4D
49,4E,4C
50,4C,4A
51,4A,48
52,48,46
53,47,45
54,45,43
55,44,42
56,42,40
57,41,3F
58,3F,3D
59,3E,3C
60,3C,3A
61,3B,39
62,39,37
63,38,36
64,37,35
65,35,33
66,34,32
67,33,31
68,32,30
69,31,2F
70,2F,2E
71,2E,2C
72,2D,2B
73,2C,2A
74,2B,29
75,2A,28
76,29,27
77,28,26
78,27,25
79,26,24
80,25,24
81,24,23
82,24,22
83,23,21
84,22,20
85,21,20
86,20,1F
87,20,1E
88,1F,1D
89,1E,1D
90,1D,1C
91,1D,1B
92,1C,1B
93,1B,1A
94,1B,19
95,1A,19
96,1A,18
97,19,18
98,18,17
99,18,16
100,17,16
